Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
538,Xavier Tillman Sr.,27,CHO,C,15,0,4.6,0.3,0.9,.357,0.0,0.2,.000,0.3,0.7,.455,.357,0.1,0.3,.250,0.6,0.5,1.1,0.5,0.2,0.2,0.2,0.4,0.7,,tillmxa01
539,Jonathan Mogbo,24,TOR,PF,38,0,6.0,0.6,1.1,.561,0.0,0.0,.000,0.6,1.1,.575,.561,0.2,0.3,.583,0.5,1.1,1.6,0.6,0.3,0.2,0.3,0.6,1.4,,mogbojo01
540,TyTy Washington Jr.,24,LAC,PG,15,0,5.7,0.6,1.3,.474,0.2,0.5,.375,0.4,0.7,.545,.553,0.0,0.0,,0.1,0.3,0.4,1.1,0.4,0.2,0.2,0.5,1.4,,washity02
541,Brooks Barnhizer,23,OKC,SG,38,0,7.6,0.5,1.4,.377,0.1,0.4,.294,0.4,0.9,.417,.425,0.1,0.2,.667,0.4,1.3,1.8,0.5,0.2,0.1,0.2,0.6,1.3,,barnhbr01
542,Isaiah Crawford,24,HOU,SF,13,0,5.8,0.5,1.4,.333,0.2,0.8,.200,0.3,0.6,.500,.389,0.2,0.3,.750,0.2,0.6,0.8,0.3,0.2,0.2,0.2,0.2,1.3,,crawfis01
543,Pacôme Dadiet,20,NYK,SG,27,0,3.9,0.4,1.3,.314,0.2,0.9,.240,0.2,0.4,.500,.400,0.2,0.2,1.000,0.1,0.7,0.8,0.4,0.1,0.0,0.1,0.2,1.3,,dadiepa01
544,Hunter Dickinson,25,NOP,C,3,0,5.7,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,.200,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.0,0.7,1.0,1.3,1.3,,dickihu01
545,Nigel Hayes-Davis,31,PHO,SF,27,0,7.2,0.6,1.7,.326,0.1,0.6,.125,0.5,1.1,.433,.348,0.1,0.1,.500,0.4,0.8,1.2,0.3,0.3,0.1,0.3,0.6,1.3,,hayesni01
546,Kyle Lowry,39,PHI,PG,13,0,8.7,0.3,1.5,.200,0.3,1.5,.200,0.0,0.0,,.300,0.4,0.5,.833,0.0,0.7,0.7,0.8,0.2,0.2,0.3,0.6,1.3,,lowryky01
547,David Roddy,24,DEN,PF,3,0,4.7,0.3,1.7,.200,0.0,1.3,.000,0.3,0.3,1.000,.200,0.7,0.7,1.000,0.3,1.3,1.7,0.7,0.3,0.0,0.0,0.7,1.3,,roddyda01
548,Amari Williams,24,BOS,PF,21,2,6.5,0.4,0.9,.474,0.0,0.0,,0.4,0.9,.474,.474,0.5,0.7,.714,0.4,1.4,1.9,0.4,0.1,0.5,0.5,0.8,1.3,,william01
549,Isaac Jones,25,2TM,PF,6,1,4.3,0.5,1.0,.500,0.0,0.3,.000,0.5,0.7,.750,.500,0.2,0.3,.500,0.3,0.5,0.8,0.2,0.0,0.2,0.0,0.7,1.2,,jonesis01
549,Isaac Jones,25,SAC,PF,3,1,5.7,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.3,0.7,.500,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.3,1.0,,jonesis01
549,Isaac Jones,25,DET,PF,3,0,3.0,0.7,1.3,.500,0.0,0.3,.000,0.7,1.0,.667,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.3,0.0,0.0,1.3,,jonesis01
550,Thanasis Antetokounmpo,33,MIL,SF,33,0,3.7,0.4,0.8,.462,0.0,0.1,.000,0.4,0.7,.545,.462,0.5,0.8,.577,0.3,0.5,0.8,0.3,0.4,0.2,0.3,0.4,1.2,,antetth01
551,Javonte Cooke,26,POR,SG,19,0,4.9,0.5,2.2,.220,0.2,1.2,.130,0.3,0.9,.333,.256,0.1,0.1,1.000,0.2,0.8,1.0,0.4,0.3,0.0,0.5,0.3,1.2,,cookeja01
552,Dillon Jones,24,NYK,SF,6,0,4.5,0.2,1.0,.167,0.2,0.7,.250,0.0,0.3,.000,.250,0.7,0.7,1.000,0.3,0.7,1.0,0.7,0.3,0.0,0.0,0.8,1.2,,jonesdi01
553,Curtis Jones,24,DEN,SG,8,0,4.5,0.5,1.9,.267,0.1,1.1,.111,0.4,0.8,.500,.300,0.0,0.0,,0.1,0.5,0.6,0.5,0.1,0.0,0.1,0.4,1.1,,jonescu01
554,CJ Huntley,24,PHO,SF,2,0,3.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,,huntlcj01
555,Joe Ingles,38,MIN,SF,26,1,4.6,0.4,0.7,.588,0.2,0.4,.400,0.2,0.3,.857,.706,0.1,0.1,1.000,0.0,0.5,0.5,0.9,0.3,0.0,0.4,0.2,1.0,,inglejo01
556,Trevor Keels,22,MIA,SG,6,0,1.8,0.3,1.5,.222,0.3,1.3,.250,0.0,0.2,.000,.333,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.0,,keelstr01
557,Zyon Pullin,24,MIN,SG,4,0,3.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.5,0.5,1.000,0.0,0.0,0.0,1.0,0.3,0.0,0.8,0.5,1.0,,pullizy01
558,Hunter Sallis,22,PHI,SG,7,0,3.7,0.4,0.7,.600,0.0,0.0,,0.4,0.7,.600,.600,0.1,0.3,.500,0.0,0.1,0.1,0.6,0.0,0.1,0.7,0.3,1.0,,sallihu01
559,Dario Šarić,31,SAC,C,5,0,8.2,0.2,1.2,.167,0.2,0.6,.333,0.0,0.6,.000,.250,0.4,0.4,1.000,0.2,1.0,1.2,0.4,0.0,0.0,0.4,0.6,1.0,,saricda01
560,Stanley Umude,26,SAS,SG,2,0,3.5,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,,umudest01
561,Bismack Biyombo,33,SAS,C,24,1,5.7,0.3,0.6,.571,0.0,0.0,,0.3,0.6,.571,.571,0.2,0.3,.714,0.2,0.8,1.0,0.2,0.2,0.1,0.3,1.1,0.9,,biyombi01
562,Johni Broome,23,PHI,C,11,0,5.0,0.4,2.2,.167,0.0,0.5,.000,0.4,1.7,.211,.167,0.2,0.5,.333,0.6,0.8,1.5,0.4,0.3,0.2,0.3,0.6,0.9,,broomjo01
563,N'Faly Dante,24,ATL,C,4,0,3.8,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,0.3,0.3,1.000,0.8,1.0,1.8,0.0,0.5,0.0,0.3,0.3,0.8,,nfalyda01
564,Markelle Fultz,27,TOR,PG,5,0,7.2,0.4,2.2,.182,0.0,0.0,,0.4,2.2,.182,.182,0.0,0.0,,0.0,0.2,0.2,1.6,0.4,0.0,0.8,0.4,0.8,,fultzma01
565,Trey Jemison,26,NYK,C,11,0,5.5,0.4,0.6,.571,0.0,0.0,,0.4,0.6,.571,.571,0.1,0.1,1.000,0.7,0.7,1.5,0.3,0.1,0.2,0.5,0.8,0.8,,jemistr01
566,Drew Peterson,26,CHO,PF,6,0,10.7,0.3,2.7,.125,0.0,2.0,.000,0.3,0.7,.500,.125,0.2,0.3,.500,0.5,1.0,1.5,0.3,0.5,0.2,0.0,0.5,0.8,,peterdr01
567,Colin Castleton,25,ORL,C,3,0,5.0,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.3,1.7,2.0,0.3,0.0,0.0,0.7,0.3,0.7,,castlco01
568,Garrett Temple,39,TOR,SG,21,0,3.3,0.1,0.7,.214,0.1,0.5,.182,0.0,0.1,.333,.286,0.3,0.4,.667,0.0,0.3,0.4,0.4,0.1,0.1,0.3,0.3,0.7,,templga01
569,Vladislav Goldin,24,MIA,C,7,0,2.9,0.3,0.4,.667,0.0,0.0,,0.3,0.4,.667,.667,0.0,0.0,,0.4,0.6,1.0,0.4,0.0,0.3,0.4,0.6,0.6,,goldivl01
570,Chris Mañon,24,LAL,SG,7,0,5.3,0.1,0.6,.250,0.0,0.3,.000,0.1,0.3,.500,.250,0.3,0.3,1.000,0.1,1.0,1.1,0.3,0.6,0.3,0.1,0.7,0.6,,manonch01
571,Olivier Sarr,26,CLE,C,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,,sarrol01
572,Max Shulga,23,BOS,SG,9,0,1.4,0.1,0.4,.250,0.0,0.1,.000,0.1,0.3,.333,.250,0.2,0.2,1.000,0.1,0.0,0.1,0.2,0.0,0.0,0.1,0.6,0.4,,shulgma01
573,John Tonje,24,BOS,SG,5,0,2.4,0.0,0.4,.000,0.0,0.4,.000,0.0,0.0,,.000,0.4,0.4,1.000,0.0,0.4,0.4,0.2,0.2,0.0,0.0,0.2,0.4,,tonjejo01
574,Jahmyl Telfort,24,LAC,PF,8,0,4.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.1,0.5,.250,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.6,0.1,,telfoja01
575,Darius Brown II,26,CLE,SG,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,brownda04
576,Noa Essengue,19,CHI,PF,2,0,3.0,0.0,1.5,.000,0.0,1.0,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,,essenno01
577,Tosan Evbuomwan,24,NYK,SF,5,0,1.6,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0,,evbuoto01
578,Enrique Freeman,25,MIN,PF,3,0,3.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,,freemen01
579,Chucky Hepburn,22,TOR,PG,2,0,6.5,0.0,3.0,.000,0.0,2.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.0,,hepbuch01
,League Average,,,,,,,,,.471,,,.360,,,.550,.545,,,.783,,,,,,,,,,,-9999
